"f_42-3:0","f_42-3:1","f_42-3:2",":0",":1",":2"
-0.09232,0.037945,0,-1.3299,0.54822,0
-0.094275,0.032291,0,-1.4078,0.48602,0
-0.09449,0.031893,0,-1.315,0.4496,0
-0.096056,0.026405,0,-1.393,0.38743,0
-0.095706,0.027095,0,-1.4858,0.42385,0
-0.097144,0.021352,0,-1.4709,0.32526,0
-0.097481,0.020238,0,-1.3781,0.28884,0
-0.09827,0.015316,0,-1.456,0.22667,0
-0.098626,0.013866,0,-1.3632,0.19024,0
-0.099127,0.0089345,0,-1.4412,0.12807,0
-0.098763,0.010678,0,-1.534,0.1645,0
-0.099277,0.0044356,0,-1.5191,0.065902,0
-0.099502,0.0021116,0,-1.4263,0.029479,0
-0.099309,-0.0020209,0,-1.5043,-0.032692,0
-0.099304,-0.0047765,0,-1.4142,-0.069533,0
-0.098958,-0.0084919,0,-1.4899,-0.13135,0
-0.098733,-0.011455,0,-1.4001,-0.16864,0
-0.098331,-0.014921,0,-1.4752,-0.23004,0
-0.09792,-0.018177,0,-1.3826,-0.26691,0
-0.097329,-0.021488,0,-1.4599,-0.3286,0
-0.096544,-0.025411,0,-1.3691,-0.36533,0
-0.095749,-0.02817,0,-1.4452,-0.42716,0
-0.094328,-0.032309,0,-1.3545,-0.46389,0
-0.093629,-0.03442,0,-1.4304,-0.52574,0
-0.092013,-0.038587,0,-1.3376,-0.56216,0
-0.091249,-0.040142,0,-1.4152,-0.62428,0
-0.089421,-0.044491,0,-1.3224,-0.66069,0
-0.088594,-0.0456,0,-1.4002,-0.72285,0
-0.086343,-0.050113,0,-1.3074,-0.75927,0
-0.097718,-0.018124,0,-1.5526,-0.2921,0
-0.098943,-0.0057847,0,-1.5823,-0.094875,0
-0.08675,-0.049221,0,-1.2295,-0.6971,0
-0.083504,-0.054837,0,-1.2146,-0.79569,0
-0.082948,-0.05515,0,-1.2925,-0.85786,0
-0.079783,-0.059898,0,-1.1997,-0.89428,0
-0.07984,-0.059803,0,-1.1244,-0.83632,0
-0.075802,-0.064771,0,-1.1075,-0.93201,0
-0.075935,-0.064189,0,-1.1849,-0.99309,0
-0.072037,-0.06853,0,-1.0921,-1.0295,0
-0.071958,-0.069168,0,-1.0141,-0.96712,0
-0.067978,-0.072871,0,-0.99921,-1.0658,0
-0.068295,-0.072001,0,-1.0772,-1.1279,0
-0.063988,-0.076115,0,-0.98433,-1.1643,0
-0.063094,-0.077223,0,-0.90638,-1.1021,0
-0.059127,-0.080058,0,-0.8915,-1.2007,0
-0.057771,-0.081293,0,-0.81355,-1.1386,0
-0.053851,-0.083756,0,-0.79868,-1.2371,0
-0.055329,-0.082353,0,-0.87663,-1.2993,0
-0.050131,-0.085742,0,-0.78381,-1.3357,0
-0.048224,-0.087212,0,-0.70586,-1.2736,0
-0.044644,-0.08878,0,-0.69099,-1.3722,0
-0.042188,-0.090317,0,-0.61304,-1.31,0
-0.0389,-0.091425,0,-0.59817,-1.4086,0
-0.035937,-0.093015,0,-0.51723,-1.3459,0
-0.032953,-0.09378,0,-0.50485,-1.4449,0
-0.029576,-0.095236,0,-0.42295,-1.3833,0
-0.026859,-0.09577,0,-0.41171,-1.4815,0
-0.022959,-0.096856,0,-0.33458,-1.4192,0
-0.020895,-0.097144,0,-0.31957,-1.5178,0
-0.017027,-0.09835,0,-0.24301,-1.4589,0
-0.014774,-0.098269,0,-0.22708,-1.5548,0
-0.010447,-0.099021,0,-0.15046,-1.4959,0
-0.0085775,-0.098983,0,-0.13435,-1.5914,0
-0.0039354,-0.099596,0,-0.056422,-1.5293,0
-0.0053845,-0.099588,0,-0.076279,-1.4203,0
0.0010255,-0.099532,0,0.020895,-1.4648,0
0.0020986,-0.099454,0,0.036552,-1.5648,0
0.0075335,-0.099373,0,0.11447,-1.5025,0
-0.092722,-0.036117,0,-1.508,-0.58785,0
0.0072364,-0.099472,0,0.10042,-1.4057,0
0.013382,-0.09864,0,0.19247,-1.4413,0
0.013436,-0.098579,0,0.20741,-1.5392,0
0.019065,-0.097698,0,0.28538,-1.4771,0
0.019394,-0.097586,0,0.27054,-1.3784,0
0.024969,-0.096379,0,0.36335,-1.4148,0
0.024271,-0.096389,0,0.37823,-1.5134,0
0.030026,-0.094833,0,0.45618,-1.4512,0
0.03112,-0.094677,0,0.4413,-1.3526,0
0.035893,-0.092853,0,0.53413,-1.389,0
0.037334,-0.092457,0,0.51925,-1.2904,0
0.041832,-0.090452,0,0.61207,-1.3268,0
0.040187,-0.090964,0,0.62695,-1.4254,0
0.045783,-0.088378,0,0.70489,-1.3633,0
0.04782,-0.087541,0,0.69001,-1.2647,0
0.051404,-0.085254,0,0.78284,-1.3011,0
0.053869,-0.083921,0,0.76766,-1.2032,0
0.056861,-0.081623,0,0.86073,-1.239,0
0.059353,-0.079964,0,0.8463,-1.141,0
0.061976,-0.077795,0,0.93878,-1.1769,0
0.064765,-0.075835,0,0.92483,-1.0784,0
0.067075,-0.07356,0,1.0168,-1.1146,0
0.070118,-0.071051,0,1.002,-1.016,0
0.071874,-0.068903,0,1.0946,-1.0524,0
0.074913,-0.065848,0,1.0798,-0.95377,0
0.076093,-0.064139,0,1.1726,-0.99018,0
0.078961,-0.060806,0,1.1577,-0.89158,0
0.079794,-0.059284,0,1.2505,-0.928,0
0.082595,-0.055679,0,1.2356,-0.8294,0
0.083077,-0.054332,0,1.3284,-0.86581,0
0.085881,-0.050385,0,1.3136,-0.76722,0
0.085332,-0.051517,0,1.2224,-0.73291,0
0.088618,-0.04604,0,1.299,-0.66898,0
0.088646,-0.045154,0,1.3916,-0.7051,0
0.091306,-0.040403,0,1.3767,-0.60652,0
0.091163,-0.040852,0,1.2878,-0.57048,0
0.093734,-0.034748,0,1.3623,-0.50785,0
0.093322,-0.034887,0,1.4547,-0.54428,0
0.095262,-0.02946,0,1.4398,-0.44568,0
0.09569,-0.029165,0,1.3435,-0.40988,0
0.097019,-0.023744,0,1.4243,-0.34719,0
0.096459,-0.024373,0,1.5176,-0.38351,0
0.097983,-0.018491,0,1.5027,-0.28492,0
0.098485,-0.017248,0,1.4098,-0.24851,0
0.099089,-0.012194,0,1.4879,-0.18631,0
0.099469,-0.010471,0,1.395,-0.1499,0
0.099759,-0.0057048,0,1.473,-0.087718,0
0.099276,-0.0076236,0,1.5658,-0.12413,0
0.099685,-0.0014513,0,1.5509,-0.025534,0
0.099938,0.00092179,0,1.4581,0.010874,0
0.09956,0.0047325,0,1.5361,0.073058,0
0.099575,0.0076494,0,1.442,0.10927,0
0.098814,0.01122,0,1.521,0.17162,0
0.098664,0.014733,0,1.4268,0.20782,0
0.097817,0.01778,0,1.506,0.2702,0
0.097357,0.021191,0,1.412,0.30642,0
0.096524,0.023879,0,1.4911,0.36879,0
0.095755,0.027611,0,1.3971,0.40502,0
0.094822,0.029821,0,1.4762,0.46738,0
0.093722,0.033901,0,1.3834,0.50379,0
0.092691,0.03572,0,1.4617,0.56601,0
0.09123,0.040008,0,1.3688,0.60242,0
0.09024,0.041341,0,1.4468,0.66461,0
0.088387,0.045623,0,1.3539,0.70101,0
0.089204,0.044696,0,1.276,0.63883,0
0.08601,0.05012,0,1.2611,0.73742,0
0.085325,0.050711,0,1.3391,0.79961,0
0.082708,0.05521,0,1.2462,0.83601,0
0.054412,-0.082968,0,0.87565,-1.3375,0
0.06421,-0.0756,0,1.0315,-1.2131,0
0.098008,0.018349,0,1.3355,0.24446,0
0.082143,0.055479,0,1.3242,0.8982,0
0.079205,0.059923,0,1.2314,0.9346,0
0.079537,0.059912,0,1.1534,0.87242,0
0.075736,0.064523,0,1.1385,0.97101,0
0.075686,0.064787,0,1.0606,0.90882,0
0.07165,0.069146,0,1.0457,1.0074,0
0.071902,0.068547,0,1.1236,1.0696,0
0.067696,0.07289,0,1.0308,1.106,0
0.06703,0.073698,0,0.95288,1.0438,0
