"f_42-2",":0",":1",":2"
-1.3089,-0.56836,1.8282,0
-1.3098,-1.1551,1.5249,0
-1.3062,0.65417,-1.8025,0
-1.3084,-1.884,0.33219,0
-1.3083,1.9095,0.049119,0
-1.3126,1.5493,-1.1174,0
-1.3046,-1.3702,-1.3323,0
-1.3004,-0.91476,-1.6759,0
-1.3094,-1.6063,1.0536,0
-1.3069,1.1579,-1.5339,0
-1.3011,-1.9028,-0.23937,0
-1.3046,-1.7378,-0.78555,0
-1.3095,1.8392,-0.52452,0
-1.0039,0.85301,0.65579,0
-1.0047,-0.99342,0.42929,0
-1.0006,-0.29617,-1.0424,0
-1.0036,0.13492,-1.0767,0
-1.0132,-0.092263,1.0836,0
-1.0103,0.97864,-0.46803,0
-1.0029,-0.89355,-0.61664,0
-1.3101,-0.095356,1.9106,0
-1.3134,1.6561,0.96015,0
-1.3142,1.4323,1.2655,0
-1.3032,-0.28512,-1.8916,0
-1.3037,0.10233,-1.9098,0
-1.3124,1.1559,1.5187,0
-1.3126,0.28752,1.8967,0
-1.3097,1.8049,0.61561,0
-1.3123,0.74857,1.7652,0
-1.3138,1.6567,-0.95651,0
-1.3086,-1.8411,0.51731,0
-1.3035,-0.73084,-1.7772,0
-1.3088,-1.7107,0.87233,0
-1.3055,0.47406,-1.8549,0
-1.3056,-1.4937,-1.19,0
-1.3125,-1.2999,1.4202,0
-1.3109,-0.73324,1.7818,0
-1.0061,-0.59846,0.90316,0
-1.0843,-0.69335,0.94066,0
-1.0855,-0.77029,0.8819,0
-1.1287,-0.78469,0.98184,0
-1.1247,-0.69227,1.0398,0
-1.1306,-0.86239,0.92047,0
-1.1699,-0.87714,1.0194,0
-1.1729,-0.95503,0.95744,0
-1.2027,-0.96986,1.0561,0
-1.2061,-1.0478,0.994,0
-1.2016,-0.8919,1.1183,0
-1.2289,-0.98469,1.1548,0
-1.229,-0.90676,1.2169,0
-1.1785,-1.0329,0.89542,0
-1.2115,-1.1257,0.93187,0
-1.1878,-1.1131,0.83606,0
-1.219,-1.2041,0.87017,0
-1.1975,-1.1915,0.77443,0
-1.2275,-1.2821,0.80818,0
-1.2082,-1.2673,0.70961,0
-1.2371,-1.3598,0.74559,0
-1.2204,-1.3448,0.64693,0
-1.2342,-1.1406,1.0305,0
-1.2455,-1.2966,0.90623,0
-1.2475,-1.4376,0.68327,0
-1.2333,-1.4227,0.58465,0
-1.2031,-1.3299,0.54822,0
-1.2191,-1.4078,0.48602,0
-1.1854,-1.315,0.4496,0
-1.205,-1.393,0.38743,0
-1.2348,-1.4858,0.42385,0
-1.2235,-1.4709,0.32526,0
-1.1915,-1.3781,0.28884,0
-1.2131,-1.456,0.22667,0
-1.1793,-1.3632,0.19024,0
-1.204,-1.4412,0.12807,0
-1.2329,-1.534,0.1645,0
-1.2261,-1.5191,0.065902,0
-1.1967,-1.4263,0.029479,0
-1.2211,-1.5043,-0.032692,0
-1.1924,-1.4142,-0.069533,0
-1.218,-1.4899,-0.13135,0
-1.1901,-1.4001,-0.16864,0
-1.217,-1.4752,-0.23004,0
