"f_42-4",":0",":1",":2"
1.0625,1.5676,0.43304,0
1.0604,-1.5637,0.36168,0
1.0362,1.1832,0.67524,0
1.0339,0.91146,-0.9807,0
1.0329,-1.2958,-0.30088,0
1.0626,1.5956,-0.32132,0
1.0602,-0.99956,1.2534,0
1.0605,-0.92164,1.3155,0
1.0621,-1.0623,-1.2265,0
1.0609,1.1088,1.1682,0
1.0347,0.67487,-1.1668,0
1.0618,0.47105,-1.5498,0
1.034,0.6781,1.1562,0
1.0617,0.90822,1.3396,0
1.0341,-1.1589,0.67634,0
1.0637,-0.26873,1.6156,0
1.0614,-1.6119,0.10232,0
1.0643,-1.5786,0.46028,0
1.0615,-0.58322,-1.5071,0
1.0628,-0.3975,-1.58,0
1.033,0.3988,1.2699,0
1.0643,1.3093,0.99679,0
1.0377,1.302,0.44694,0
1.0644,1.6438,-0.061942,0
1.0339,-1.3383,-0.0054703,0
1.0628,0.71977,-1.4618,0
1.0641,-0.86176,-1.3979,0
1.0356,-0.5316,-1.2472,0
1.0637,0.16564,1.6308,0
1.0648,-1.4524,0.78185,0
1.0657,0.39311,-1.612,0
1.0361,1.3611,0.044942,0
1.0363,1.0648,-0.85058,0
1.0667,0.072804,1.6672,0
1.0651,-0.6882,1.5019,0
1.034,-0.22406,1.3199,0
1.0661,1.5396,0.6282,0
1.033,-0.82842,-1.04,0
1.034,-1.2489,-0.48876,0
1.0656,-1.1551,-1.1901,0
1.0333,1.3171,-0.21209,0
1.0678,-0.61026,1.5641,0
1.0304,-0.73561,-1.0764,0
1.0343,0.20439,1.3284,0
1.0687,1.5247,0.72679,0
1.0662,1.6105,-0.41991,0
1.0462,-0.65837,1.3047,0
1.0295,-0.302,1.2577,0
1.0687,-0.19079,1.6778,0
1.0689,-1.5304,0.71966,0
1.0664,-0.21205,-1.6529,0
1.0723,1.6884,-0.35772,0
1.0324,0.42643,-1.254,0
1.0718,-1.1402,-1.2887,0
1.0691,-0.11925,-1.6894,0
1.0697,1.4021,0.96039,0
1.0702,-1.6565,0.39811,0
1.0315,0.87494,0.98164,0
1.031,-1.2853,0.25241,0
1.0716,0.48593,-1.6484,0
1.0689,-1.0144,1.352,0
1.0694,-0.93652,1.4141,0
1.0689,-1.0924,1.2898,0
1.0285,-1.0159,0.78746,0
1.0331,1.1988,0.57859,0
1.0264,1.1054,0.61338,0
1.0338,-1.2371,0.51177,0
1.0346,1.0755,0.81023,0
1.029,-1.2222,0.41317,0
1.0297,0.98265,0.84664,0
