"f_42-0:0","f_42-0:1","f_42-0:2",":0",":1",":2"
-0.63253,-0.64473,0,-0.77163,-0.78641,0
0.73393,-0.54568,0,0.87309,-0.64903,0
0.87184,-0.22935,0,1.0674,-0.28085,0
0.37366,0.83687,0,0.44263,0.99122,0
-0.84428,-0.35858,0,-0.99848,-0.42408,0
0.11576,0.91193,0,0.13637,1.0737,0
-0.335,0.85351,0,-0.39643,1.0101,0
0.53779,-0.74421,0,0.63483,-0.87822,0
-0.91169,-0.094847,0,-1.0797,-0.11228,0
-0.41226,-0.8185,0,-0.48848,-0.96973,0
0.91648,0.049827,0,1.0825,0.058899,0
0.29378,-0.87326,0,0.34449,-1.0235,0
-0.90669,0.18406,0,-1.0539,0.21405,0
0.61343,0.68991,0,0.71601,0.80533,0
-0.76002,0.51523,0,-0.89691,0.60814,0
0.85585,0.3111,0,1.0268,0.37335,0
-0.066305,-0.91589,0,-0.078206,-1.0808,0
-0.5731,0.71674,0,-0.67707,0.84679,0
-0.077207,0.51448,0,-0.28512,1.8916,0
0.42218,0.30482,0,1.5498,1.1175,0
-0.4359,-0.28293,0,-1.6058,-1.0427,0
0.4775,-0.21122,0,1.7425,-0.7711,0
0.079382,-0.5146,0,0.28957,-1.8892,0
-0.1538,-0.49794,0,-0.56432,-1.8244,0
-0.48406,0.19042,0,-1.7808,0.6989,0
0.51691,-0.060915,0,1.8991,-0.22414,0
-0.3109,-0.41035,0,-1.1665,-1.5416,0
0.15257,0.4955,0,0.5638,1.8348,0
-0.49699,-0.14263,0,-1.8502,-0.53089,0
0.37053,-0.35827,0,1.3855,-1.3446,0
-0.25061,0.46028,0,-0.9086,1.6677,0
0.26921,0.44121,0,1.0021,1.644,0
0.24939,-0.4566,0,0.91491,-1.6801,0
-0.51515,0.015005,0,-1.9304,0.053394,0
0.51232,0.091385,0,1.883,0.33426,0
-0.39273,0.34699,0,-1.4237,1.2566,0
0.02613,0.51828,0,0.09523,1.9153,0
0.46907,0.21199,0,1.7626,0.79416,0
0.3534,0.38078,0,1.3029,1.4038,0
-0.025967,-0.52058,0,-0.096548,-1.9069,0
-0.15408,0.4965,0,-0.56836,1.8282,0
-0.31397,0.41472,0,-1.1551,1.5249,0
0.17758,-0.48766,0,0.65417,-1.8025,0
-0.5121,0.090953,0,-1.884,0.33219,0
0.52089,0.013668,0,1.9095,0.049119,0
0.42274,-0.30418,0,1.5493,-1.1174,0
-0.37349,-0.36276,0,-1.3702,-1.3323,0
-0.24984,-0.45759,0,-0.91476,-1.6759,0
-0.43299,0.28442,0,-1.6063,1.0536,0
0.31269,-0.41283,0,1.1579,-1.5339,0
-0.51506,-0.064446,0,-1.9028,-0.23937,0
-0.47544,-0.21497,0,-1.7378,-0.78555,0
0.50038,-0.14275,0,1.8392,-0.52452,0
0.73302,0.56351,0,0.85301,0.65579,0
-0.84399,0.36465,0,-0.99342,0.42929,0
-0.25101,-0.88332,0,-0.29617,-1.0424,0
0.11395,-0.90989,0,0.13492,-1.0767,0
-0.07772,0.91153,0,-0.092263,1.0836,0
0.82742,-0.39573,0,0.97864,-0.46803,0
-0.75436,-0.52061,0,-0.89355,-0.61664,0
-0.025576,0.51958,0,-0.095356,1.9106,0
0.44946,0.2611,0,1.6561,0.96015,0
0.39001,0.34481,0,1.4323,1.2655,0
-0.077217,-0.51446,0,-0.28512,-1.8916,0
0.028303,-0.51959,0,0.10233,-1.9098,0
0.31585,0.41481,0,1.1559,1.5187,0
0.078071,0.51281,0,0.28752,1.8967,0
0.49377,0.16895,0,1.8049,0.61561,0
0.20288,0.47773,0,0.74857,1.7652,0
0.45052,-0.25974,0,1.6567,-0.95651,0
-0.50075,0.14125,0,-1.8411,0.51731,0
-0.19689,-0.47905,0,-0.73084,-1.7772,0
-0.46151,0.23576,0,-1.7107,0.87233,0
0.12922,-0.50347,0,0.47406,-1.8549,0
-0.40763,-0.32449,0,-1.4937,-1.19,0
-0.3488,0.3814,0,-1.2999,1.4202,0
-0.19636,0.47774,0,-0.73324,1.7818,0
-0.50729,0.76552,0,-0.59846,0.90316,0
-0.50513,0.68523,0,-0.69335,0.94066,0
-0.5589,0.63983,0,-0.77029,0.8819,0
-0.49418,0.61828,0,-0.78469,0.98184,0
-0.44137,0.6629,0,-0.69227,1.0398,0
-0.53929,0.57553,0,-0.86239,0.92047,0
-0.4825,0.56071,0,-0.87714,1.0194,0
-0.51954,0.5208,0,-0.95503,0.95744,0
-0.46928,0.511,0,-0.96986,1.0561,0
-0.49973,0.47403,0,-1.0478,0.994,0
-0.43365,0.54373,0,-0.8919,1.1183,0
-0.4253,0.49881,0,-0.98469,1.1548,0
-0.39166,0.52568,0,-0.90676,1.2169,0
-0.54992,0.47663,0,-1.0329,0.89542,0
-0.52441,0.43404,0,-1.1257,0.93187,0
-0.57143,0.42912,0,-1.1131,0.83606,0
-0.54277,0.39221,0,-1.2041,0.87017,0
-0.587,0.38146,0,-1.1915,0.77443,0
-0.55528,0.34998,0,-1.2821,0.80818,0
-0.59763,0.33456,0,-1.2673,0.70961,0
-0.56249,0.30842,0,-1.3598,0.74559,0
-0.60072,0.28891,0,-1.3448,0.64693,0
-0.48023,0.43385,0,-1.1406,1.0305,0
-0.51545,0.36028,0,-1.2966,0.90623,0
-0.56446,0.26831,0,-1.4376,0.68327,0
-0.5982,0.24579,0,-1.4227,0.58465,0
-0.6394,0.26347,0,-1.3299,0.54822,0
-0.63138,0.21788,0,-1.4078,0.48602,0
-0.67737,0.23143,0,-1.315,0.4496,0
-0.66292,0.18423,0,-1.393,0.38743,0
-0.61916,0.17656,0,-1.4858,0.42385,0
-0.64482,0.14246,0,-1.4709,0.32526,0
-0.69156,0.14475,0,-1.3781,0.28884,0
-0.66714,0.10368,0,-1.456,0.22667,0
-0.7159,0.099696,0,-1.3632,0.19024,0
-0.68499,0.060679,0,-1.4412,0.12807,0
-0.64124,0.068621,0,-1.534,0.1645,0
-0.6538,0.028208,0,-1.5191,0.065902,0
-0.69735,0.014229,0,-1.4263,0.029479,0
-0.66125,-0.014506,0,-1.5043,-0.032692,0
-0.70195,-0.03466,0,-1.4142,-0.069533,0
-0.66284,-0.058528,0,-1.4899,-0.13135,0
-0.70062,-0.08448,0,-1.4001,-0.16864,0
-0.65863,-0.10274,0,-1.4752,-0.23004,0
-0.6939,-0.13399,0,-1.3826,-0.26691,0
-0.64881,-0.14601,0,-1.4599,-0.3286,0
-0.67851,-0.18104,0,-1.3691,-0.36533,0
-0.63324,-0.1871,0,-1.4452,-0.42716,0
-0.6575,-0.22513,0,-1.3545,-0.46389,0
-0.61284,-0.22516,0,-1.4304,-0.52574,0
-0.63218,-0.26562,0,-1.3376,-0.56216,0
-0.58852,-0.25951,0,-1.4152,-0.62428,0
-0.60206,-0.30076,0,-1.3224,-0.66069,0
-0.56099,-0.28953,0,-1.4002,-0.72285,0
-0.56899,-0.33042,0,-1.3074,-0.75927,0
-0.61914,-0.11643,0,-1.5526,-0.2921,0
-0.62677,-0.037641,0,-1.5823,-0.094875,0
-0.61232,-0.34718,0,-1.2295,-0.6971,0
-0.57308,-0.37547,0,-1.2146,-0.79569,0
-0.53426,-0.35461,0,-1.2925,-0.85786,0
-0.53298,-0.39737,0,-1.1997,-0.89428,0
-0.56959,-0.42373,0,-1.1244,-0.83632,0
-0.5258,-0.4426,0,-1.1075,-0.93201,0
-0.49311,-0.41337,0,-1.1849,-0.99309,0
-0.48225,-0.45477,0,-1.0921,-1.0295,0
-0.5137,-0.49009,0,-1.0141,-0.96712,0
-0.46572,-0.49692,0,-0.99921,-1.0658,0
-0.4405,-0.46143,0,-1.0772,-1.1279,0
-0.42124,-0.49847,0,-0.98433,-1.1643,0
-0.4428,-0.53865,0,-0.90638,-1.1021,0
-0.39655,-0.5343,0,-0.8915,-1.2007,0
-0.41331,-0.57863,0,-0.81355,-1.1386,0
-0.36644,-0.5678,0,-0.79868,-1.2371,0
-0.35502,-0.52639,0,-0.87663,-1.2993,0
-0.32514,-0.55426,0,-0.78381,-1.3357,0
-0.33123,-0.5978,0,-0.70586,-1.2736,0
-0.2913,-0.57859,0,-0.69099,-1.3722,0
-0.29159,-0.6232,0,-0.61304,-1.31,0
-0.25416,-0.59859,0,-0.59817,-1.4086,0
-0.24757,-0.64425,0,-0.51723,-1.3459,0
-0.21445,-0.61381,0,-0.50485,-1.4449,0
-0.20116,-0.65788,0,-0.42295,-1.3833,0
-0.17329,-0.62357,0,-0.41171,-1.4815,0
-0.15661,-0.66422,0,-0.33458,-1.4192,0
-0.13218,-0.62779,0,-0.31957,-1.5178,0
-0.11058,-0.66367,0,-0.24301,-1.4589,0
-0.091514,-0.62666,0,-0.22708,-1.5548,0
-0.066259,-0.65851,0,-0.15046,-1.4959,0
-0.052388,-0.62087,0,-0.13435,-1.5914,0
-0.023996,-0.64979,0,-0.056422,-1.5293,0
-0.037589,-0.69858,0,-0.076279,-1.4203,0
0.0096247,-0.67914,0,0.020895,-1.4648,0
0.014845,-0.63554,0,0.036552,-1.5648,0
0.050119,-0.65844,0,0.11447,-1.5025,0
-0.5728,-0.22317,0,-1.508,-0.58785,0
0.050215,-0.70425,0,0.10042,-1.4057,0
