"f:0","f:1","f:2",":0",":1",":2"
-0.03351614883925336,-0.5175562232975974,0,0.64,0,0
-0.03333374457011451,-0.5165455191529524,0,0.639,0,0
-0.03315015049923031,-0.5155338524939592,0,0.638,0,0
-0.032965374000764824,-0.51452123138978,0,0.637,0,0
-0.032779422448882434,-0.5135076639095767,0,0.636,0,0
-0.0325923032177472,-0.5124931581225112,0,0.635,0,0
-0.0324040236815234,-0.5114777220977456,0,0.634,0,0
-0.03221459121437531,-0.5104613639044419,0,0.633,0,0
-0.03202401319046699,-0.509444091611762,0,0.632,0,0
-0.03183229698396273,-0.5084259132888679,0,0.631,0,0
-0.03163944996902679,-0.5074068370049215,0,0.63,0,0
-0.03144547951982335,-0.506386870829085,0,0.629,0,0
-0.031250393010516575,-0.5053660228305202,0,0.628,0,0
-0.031054197815270745,-0.5043443010783892,0,0.627,0,0
-0.03085690130825003,-0.5033217136418539,0,0.626,0,0
-0.030658510863618593,-0.5022982685900763,0,0.625,0,0
-0.030459033855540718,-0.5012739739922184,0,0.624,0,0
-0.030258477658180682,-0.5002488379174422,0,0.623,0,0
-0.030056849645702544,-0.49922286843490965,0,0.622,0,0
-0.02985415719227069,-0.49819607361378276,0,0.621,0,0
-0.02965040768509064,-0.4971684615158099,0,0.62,0,0
-0.029445608991820582,-0.49614003986782296,0,0.619,0,0
-0.029239769268243232,-0.4951108160767389,0,0.618,0,0
-0.029032896608752412,-0.4940807975611607,0,0.617,0,0
-0.028824999107741944,-0.49304999173969116,0,0.616,0,0
-0.02861608485960565,-0.4920184060309332,0,0.615,0,0
-0.028406161958737575,-0.49098604785348976,0,0.614,0,0
-0.028195238499531317,-0.4899529246259636,0,0.613,0,0
-0.02798332257638092,-0.4889190437669578,0,0.612,0,0
-0.027770422283680096,-0.48788441269507504,0,0.611,0,0
-0.027556545715822778,-0.48684903882891833,0,0.61,0,0
-0.027341700967202898,-0.4858129295870905,0,0.609,0,0
-0.027125896132214167,-0.4847760923881945,0,0.608,0,0
-0.026909139305250407,-0.4837385346508332,0,0.607,0,0
-0.026691438580705662,-0.4827002637936095,0,0.606,0,0
-0.026472802052973532,-0.4816612872351262,0,0.605,0,0
-0.02625323781644817,-0.4806216123939863,0,0.604,0,0
-0.02603275396552318,-0.47958124668879265,0,0.603,0,0
-0.025811358594592493,-0.4785401975381481,0,0.602,0,0
-0.02558905979804993,-0.47749847236065557,0,0.601,0,0
-0.025365865670289534,-0.47645607857491795,0,0.6,0,0
-0.025141784305704906,-0.47541302359953813,0,0.599,0,0
-0.02491682379868998,-0.474369314853119,0,0.598,0,0
-0.024690992243638576,-0.4733249597542634,0,0.597,0,0
-0.02446429773494474,-0.4722799657215743,0,0.596,0,0
-0.02423674836700207,-0.47123434017365456,0,0.595,0,0
-0.0240083522342045,-0.47018809052910704,0,0.594,0,0
-0.023779117430946073,-0.46914122420653465,0,0.593,0,0
-0.02354905205162028,-0.4680937486245403,0,0.592,0,0
-0.023318164251263096,-0.4670456711534099,0,0.591,0,0
-0.02308646266280845,-0.4659969987407209,0,0.59,0,0
-0.022853955938143544,-0.4649477382561889,0,0.589,0,0
-0.02262065269777158,-0.4638978965903585,0,0.588,0,0
-0.02238656156219576,-0.46284748063377446,0,0.587,0,0
-0.022151691151919395,-0.46179649727698135,0,0.586,0,0
-0.021916050087445682,-0.4607449534105239,0,0.585,0,0
-0.021679646989277934,-0.4596928559249467,0,0.584,0,0
-0.02144249047791924,-0.45864021171079444,0,0.583,0,0
-0.0212045891738728,-0.45758702765861176,0,0.582,0,0
-0.020965951697642038,-0.45653331065894337,0,0.581,0,0
-0.02072658666973004,-0.45547906760233386,0,0.58,0,0
-0.02048650271064001,-0.454424305379328,0,0.579,0,0
-0.020245708440875365,-0.4533690308804703,0,0.578,0,0
-0.0200042124809392,-0.4523132509963055,0,0.577,0,0
-0.01976202345133471,-0.4512569726173783,0,0.576,0,0
-0.019519149972565097,-0.45020020263423327,0,0.575,0,0
-0.019275600665133785,-0.4491429479374151,0,0.574,0,0
-0.019031384149543862,-0.4480852154174685,0,0.573,0,0
-0.018786509046298527,-0.44702701196493805,0,0.572,0,0
-0.018540983975901093,-0.4459683444703684,0,0.571,0,0
-0.01829481755885476,-0.4449092198243043,0,0.57,0,0
-0.018048018415662836,-0.4438496449172904,0,0.569,0,0
-0.017800595166828415,-0.4427896266398713,0,0.568,0,0
-0.017552556432854804,-0.4417291718825917,0,0.567,0,0
-0.017303910834245206,-0.44066828753599624,0,0.566,0,0
-0.01705466699150282,-0.4396069804906295,0,0.565,0,0
-0.01680483352513107,-0.43854525763703633,0,0.564,0,0
-0.01655441905563293,-0.4374831258657612,0,0.563,0,0
-0.01630343233734377,-0.4364205919366652,0,0.562,0,0
-0.016051882454983457,-0.43535766226675904,0,0.561,0,0
-0.01579977838418567,-0.4342943433626023,0,0.56,0,0
-0.015547129094585665,-0.4332306417363637,0,0.559,0,0
-0.015293943555818479,-0.4321665639002119,0,0.558,0,0
-0.015040230737519145,-0.4311021163663157,0,0.557,0,0
-0.014785999609322698,-0.4300373056468436,0,0.556,0,0
-0.014531259140864172,-0.42897213825396446,0,0.555,0,0
-0.014276018301778826,-0.42790662069984686,0,0.554,0,0
-0.01402028606170147,-0.42684075949665956,0,0.553,0,0
-0.013764071390267252,-0.4257745611565712,0,0.552,0,0
-0.013507383257111316,-0.42470803219175046,0,0.551,0,0
-0.013250230631868698,-0.4236411791143661,0,0.55,0,0
-0.012992622484174432,-0.42257400843658677,0,0.549,0,0
-0.012734567783663553,-0.42150652667058114,0,0.548,0,0
-0.012476075499971206,-0.4204387403285179,0,0.547,0,0
-0.012217154602732427,-0.41937065592256584,0,0.546,0,0
-0.01195781406158214,-0.4183022799648935,0,0.545,0,0
-0.011698062846155599,-0.41723361896766964,0,0.544,0,0
-0.011437909926087841,-0.41616467944306296,0,0.543,0,0
-0.01117736427101379,-0.4150954679032421,0,0.542,0,0
-0.01091643485056859,-0.41402599086037584,0,0.541,0,0
-0.010655130634387389,-0.4129562548266328,0,0.54,0,0
